iter	Passed	Remaining
0	1	146
1	2	131
2	4	144
3	5	138
4	7	133
5	8	128
6	9	128
7	10	125
8	12	122
9	13	119
10	14	116
11	15	116
12	17	114
13	18	114
14	19	112
15	20	109
16	22	108
17	23	107
18	24	104
19	25	102
20	26	100
21	27	98
22	29	97
23	30	96
24	31	95
25	32	93
26	34	91
27	35	90
28	36	88
29	37	86
30	38	85
31	39	84
32	40	82
33	41	80
34	42	79
35	43	78
36	45	76
37	46	75
38	47	73
39	48	72
40	49	71
41	49	69
42	51	67
43	52	66
44	53	65
45	54	63
46	55	62
47	56	61
48	57	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	74	41
64	75	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	112	3
97	113	2
98	114	1
99	115	0
